,,Life Expectancy at Birth,Number of Florida residents
Geography,FIPS,2021,2021
Alachua,12-001, ,275435
Baker,12-003, ,28790
Bay,12-005, ,176851
Bradford,12-007, ,28824
Brevard,12-009, ,618491
Broward,12-011, ,1946733
Calhoun,12-013, ,14629
Charlotte,12-015, ,194001
Citrus,12-017, ,151102
Clay,12-019, ,224503
Collier,12-021, ,398696
Columbia,12-023, ,70869
Miami-Dade,12-086, ,2860584
DeSoto,12-027, ,37941
Dixie,12-029, ,16716
Duval,12-031, ,994778
Escambia,12-033, ,326552
Flagler,12-035, ,118083
Franklin,12-037, ,11979
Gadsden,12-039, ,46520
Gilchrist,12-041, ,18720
Glades,12-043, ,14040
Gulf,12-045, ,14875
Hamilton,12-047, ,14616
Hardee,12-049, ,27436
Hendry,12-051, ,41730
Hernando,12-053, ,196419
Highlands,12-055, ,106182
Hillsborough,12-057, ,1515107
Holmes,12-059, ,19994
Indian River,12-061, ,162826
Jackson,12-063, ,46657
Jefferson,12-065, ,14417
Lafayette,12-067, ,8899
Lake,12-069, ,376749
Lee,12-071, ,767991
Leon,12-073, ,302512
Levy,12-075, ,42062
Liberty,12-077, ,8632
Madison,12-079, ,18952
Manatee,12-081, ,410199
Marion,12-083, ,376107
Martin,12-085, ,163920
Monroe,12-087, ,77972
Nassau,12-089, ,93375
Okaloosa,12-091, ,206418
Okeechobee,12-093, ,42322
Orange,12-095, ,1448933
Osceola,12-097, ,404978
Palm Beach,12-099, ,1487272
Pasco,12-101, ,558627
Pinellas,12-103, ,990077
Polk,12-105, ,739259
Putnam,12-107, ,73987
St. Johns,12-109, ,270005
St. Lucie,12-111, ,335202
Santa Rosa,12-113, ,190405
Sarasota,12-115, ,451253
Seminole,12-117, ,482450
Sumter,12-119, ,154323
Suwannee,12-121, ,45849
Taylor,12-123, ,22491
Union,12-125, ,15439
Volusia,12-127, ,564112
Wakulla,12-129, ,34829
Walton,12-131, ,79376
Washington,12-133, ,25514